actor,films_cnt,actors_cnt
Elizabeth Berrington,1,3
Elizabeth McGovern,1,3
Elizabeth Taylor,3,9
Ellar Coltrane,1,3
Ellen Burstyn,2,6
Ellen Crawford,1,3
Ellen DeGeneres,1,3
Ellen Widmann,1,3
Elliot Page,1,3
Elliott Gould,1,3
Elmo Nüganen,1,3
Elpidia Carrillo,1,3
Elsa Lanchester,2,6
Elya Baskin,1,3
Emeric Pressburger,1,3
Emi Shinohara,1,3
Emile Hirsch,2,6
Emilia Fox,1,3
Emilio Echevarría,1,3
Emilio Estevez,1,3
Emily Blunt,2,6
Emily Mortimer,2,6
Emily Watson,1,3
Emma Stone,3,9
Emma Thompson,2,6
Emma Watson,7,12
Emmanuel Affadzi,1,3
Emmanuelle Riva,2,6
Emmanuelle Seigner,2,6
Emmy Rossum,1,3
Enrique Castillo,1,3
Enrique Rambal,1,3
Enzo Cannavale,1,3
Enzo Staiola,1,3
Enzo Tarascio,1,3
Erdem Can,2,6
Eric Bana,2,6
Eric Baugin,1,3
Eric Idle,1,3
Eric Radomski,1,3
Eric Schweig,1,3
Eric Sykes,1,3
Erich von Stroheim,2,6
Ernest B. Schoedsack,1,3
Ernest Borgnine,2,6
Ernst Jacobi,1,3
Errol Flynn,1,3
Erwin Connelly,1,3
Ethan Coen,6,14
Ethan Hawke,9,25
Eugene Silvain,1,3
Eun-ju Lee,1,3
Eva Green,1,3
Eva Marie Saint,1,3
Evan McGuire,1,3
Evan Rachel Wood,1,3
Evgeniy Zharikov,1,3
Ewa Fröling,1,3
Ewan McGregor,3,9
Ewen Bremner,1,3
Ezra Miller,1,3
F. Murray Abraham,2,6
Famke Janssen,1,3
Farhan Akhtar,2,6
Farida Jalal,1,3
Farley Granger,2,6
Fatima Sana Shaikh,1,3
Fay Wray,1,3
Faye Dunaway,3,9
Faye Wong,1,3
Fele Martínez,1,3
Felicity Jones,2,6
Felix Bressart,1,3
Fengyi Zhang,1,3
Ferdia Walsh-Peelo,1,3
Fernanda Montenegro,1,3
Fernando Rey,2,6
Fikret Kuskan,1,3
Filip Berg,1,3
Filip Sovagovic,1,3
Filipp Yankovskiy,1,3
Fionn Whitehead,1,3
Fionnula Flanagan,2,6
Florence Lee,1,3
Florence Pugh,1,3
Florian Lukas,1,3
Florijan Ajdini,1,3
Folco Lulli,1,3
Ford Beebe Jr.,1,3
Forest Whitaker,2,6
Franca Marzi,1,3
Frances Conroy,1,3
Frances McDormand,5,14
Frances Sternhagen,1,3
Francine Racette,1,3
Francis Capra,1,3
Francis Huster,1,3
Frank Adu,1,3
Frank Finlay,1,3
Frank Giering,1,3
Frank Langella,1,3
Frank Lovejoy,1,3
Frank Morgan,1,3
Frank Overton,1,3
Frank Oz,1,3
Frank Paur,1,3
Frank Sinatra,1,3
Frank Vincent,1,3
Franka Potente,4,11
Frantz Turner,1,3
Franz Rogowski,1,3
François Berléand,1,3
François Cluzet,1,3
François Périer,2,6
François Truffaut,1,3
Fred MacMurray,2,6
Fred Willard,1,3
Frederic Forrest,2,6
Frederick Lau,2,6
Fredric March,2,6
Freida Pinto,1,3
Friedrich Feher,1,3
Frédérique Feder,1,3
Gabriel Byrne,2,6
Gabriele Ferzetti,1,3
Gabrielle Anwar,1,3
Gael García Bernal,4,12
Gajraj Rao,1,3
Garrett M. Brown,1,3
Gary Busey,1,3
Gary Cooper,1,3
Gary Farmer,1,3
Gary Lockwood,1,3
Gary Oldman,6,18
Gary Sinise,2,5
Gary Stretch,1,3
Gaspard Manesse,1,3
Gaspard Ulliel,1,3
Gastone Moschin,1,3
Gastón Pauls,1,3
Gattlin Griffith,1,3
Gayatri Joshi,1,3
Gaylen Ross,1,3
Geert Van Rampelberg,1,3
Gemma Jones,1,3
Gena Rowlands,3,9
Gene Bervoets,1,3
Gene Hackman,6,18
Gene Kelly,2,7
Gene Lockhart,2,6
Gene Tierney,1,3
Gene Wilder,3,9
Geneviève Page,1,3
Geoffrey Arend,1,3
Geoffrey Rush,4,12
George C. Scott,3,9
George Clooney,4,12
George Cukor,2,6
George Harrison,1,3
George Kennedy,1,3
George MacKay,2,6
George Macready,2,6
George O'Brien,1,3
George Peppard,1,3
George Raft,1,3
George Sanders,2,6
George Segal,1,3
Georges Adet,1,3
Georges Siatidis,1,3
Gerald R. Molen,1,3
Geraldine Chaplin,1,3
Gerard Butler,3,8
Gerard Hendrick,1,3
Gerardo Taracena,1,3
Gerd Oswald,1,3
Gerry Robert Byrne,1,3
Gert Fröbe,1,3
Gian Maria Volontè,2,5
Gil Birmingham,1,3
Gillian Anderson,1,3
Gina Torres,1,3
Ginnifer Goodwin,2,6
Giorgi Nakashidze,1,3
Giorgio Cantarini,1,3
Giovanni Ribisi,1,3
Giulietta Masina,2,6
Giuseppe Battiston,1,3
Giustino Durano,1,3
Gladys George,1,3
Glen Cavender,1,2
Glen Hansard,1,3
Glenn Ford,1,3
Gloria Grahame,1,3
Gloria Stuart,1,3
Gloria Swanson,1,3
Glynis Johns,1,3
Godfrey Tearle,1,3
Golshifteh Farahani,1,3
Gong Li,2,6
Gore Vidal,1,3
Gorô Naya,1,3
Goya Toledo,1,3
Grace Kelly,3,9
Graciela Tenenbaum,1,3
Gracy Singh,2,6
Graham Chapman,2,5
Graham Greene,2,6
Graham Norton,1,3
Greg Cruttwell,1,3
Greg Grunberg,1,3
Greg Kinnear,2,6
Gregory Peck,3,9
Greta Schröder,1,3
Griffin Dunne,1,3
Grigoriy Aleksandrov,1,3
Groucho Marx,2,4
Guillaume Canet,2,6
Gunnar Björnstrand,3,8
Gunnel Lindblom,1,3
Gustaf Skarsgård,1,3
Gustav Fröhlich,1,3
Gustav von Wangenheim,1,3
Guy Decomble,1,3
Guy Pearce,3,9
Guylaine Schlumberger,1,3
Gwen Eckhaus,1,3
Gwilym Lee,1,3
Gwyneth Paltrow,2,6
Gérard Jugnot,1,3
Günes Sensoy,1,3
Güven Kiraç,1,3
Haaz Sleiman,1,3
Hailee Steinfeld,1,3
Haing S. Ngor,1,3
Haley Joel Osment,1,3
Halina Gryglaszewska,1,3
Halina Reijn,1,3
Haluk Bilginer,1,3
Halvar Björk,1,3
Hanno Pöschl,1,3
Hardy Krüger,1,3
Harold Ramis,1,3
Harpo Marx,2,4
Harriet Andersson,2,6
Harrison Ford,8,19
Harry Connick Jr.,1,3
Harry Crocker,1,3
Harry Dean Stanton,1,3
Harry Guardino,1,3
Harry Myers,1,3
Harshaali Malhotra,1,3
Hartley Power,1,3
Haru Kuroki,1,3
Haruo Tanaka,1,3
Harvey Keitel,2,6
Harvey Korman,1,3
Haya Harareet,1,3
Hayley Squires,1,3
Heath Ledger,2,6
Hector Elizondo,1,3
Hee Jae,1,3
Hee-won Kim,1,3
Helen Hunt,2,6
Helena Bonham Carter,1,3
Helena Rojo,1,3
Helmut Griem,1,3
Helmut Qualtinger,1,3
Hemendra Dandotiya,1,3
Henning Moritzen,1,3
Henri Serre,1,3
Henri-Jacques Huet,1,3
Henrik Dahl,1,3
Henrik Lundström,1,3
Henry Bergman,2,5
Henry Cavill,1,3
Henry Fonda,4,12
Henry Thomas,1,3
Henry Travers,2,6
Herb Edelman,1,3
Herbert Grönemeyer,1,3
Herbert Knaup,1,3
Herbert Lom,1,3
Hiam Abbass,1,3
Hideaki Anno,1,3
Hidetoshi Nishijima,1,3
Hilary Swank,1,3
Hiromasa Yonebayashi,1,3
Hiroyuki Okiura,1,3
Hisako Kyôda,1,3
Hitoshi Takagi,1,3
Ho-jin Chun,1,3
Holly Hunter,2,5
Holmes Osborne,1,3
Honor Blackman,1,3
Horacio Salinas,1,3
Howard Da Silva,1,3
Hrithik Roshan,1,3
Hubert Koundé,1,3
Hubertus Bengsch,1,3
Huck Milner,1,3
Hudhail Al-Amir,1,3
Hugh Bonneville,1,3
Hugh Grant,1,3
Hugh Jackman,4,11
Hugh Marlowe,1,3
Hugh Walsh,1,3
Hugh Welchman,1,3
Hugo Silva,1,3
Hugo Weaving,1,3
Humphrey Bogart,9,25
Husnija Hasimovic,1,3
Hye-ja Kim,1,3
Hyeong-jin Kong,1,3
Hyuk-ho Kwon,1,3
Hümeyra,1,3
Iain Rea,1,3
Ian Hart,1,3
Ian Hendry,1,3
Ian Holm,1,3
Ian McKellen,7,14
Ida Engvoll,1,3
Iemasa Kayumi,1,3
Ignat Daniltsev,1,3
Iko Uwais,2,6
Ileana D'Cruz,1,3
Ilker Kizmaz,1,3
Imelda Staunton,1,3
In-mun Kim,1,3
Indraneil Sengupta,1,3
Inge Landgut,1,3
Ingrid Bergman,3,8
Ingrid Thulin,2,6
Irandhir Santos,1,3
Irene Miracle,1,3
Irene Papas,1,3
Irrfan Khan,4,12
Irving Metzman,1,3
Irène Jacob,2,6
Isa Danieli,1,3
Isaac Hayes,1,3
Isabella Rossellini,1,3
Isabelle Adjani,1,3
Isabelle Huppert,1,3
Ismail Hacioglu,1,3
Issey Takahashi,1,3
Isuzu Yamada,1,3
Ivan Bobrov,1,3
