first,second
a_Andrew Kevin Walker,a_Brad Pitt
a_Andrew Kevin Walker,a_Kevin Spacey
a_Andrew Kevin Walker,a_Morgan Freeman
a_Andrew Marton,a_Bernhard Wicki
a_Andrew Marton,a_Darryl F. Zanuck
a_Andrew Marton,a_Gerd Oswald
a_Andrew Philpot,a_John Rafter Lee
a_Andrew Philpot,a_Pamela Adlon
a_Andrew Philpot,a_Wendee Lee
a_Andrew Robinson,a_Clint Eastwood
a_Andrew Robinson,a_Harry Guardino
a_Andrew Robinson,a_Reni Santoni
a_Andrew Shim,a_Jo Hartley
a_Andrew Shim,a_Stephen Graham
a_Andrew Shim,a_Thomas Turgoose
a_André Berley,a_Eugene Silvain
a_André Berley,a_Maria Falconetti
a_André Berley,a_Maurice Schutz
a_André Ramiro,a_Caio Junqueira
a_André Ramiro,a_Irandhir Santos
a_André Ramiro,a_Milhem Cortaz
a_André Ramiro,a_Wagner Moura
a_André S. Labarthe,a_Anna Karina
a_André S. Labarthe,a_Guylaine Schlumberger
a_André S. Labarthe,a_Sady Rebbot
a_Andy Devine,a_Claire Trevor
a_Andy Devine,a_John Carradine
a_Andy Devine,a_John Wayne
a_Andy Garcia,a_Diane Keaton
a_Andy Garcia,a_Talia Shire
a_Andy Lau,a_Anthony Chau-Sang Wong
a_Andy Lau,a_Tony Chiu-Wai Leung
a_Andy Serkis,a_Gary Oldman
a_Andy Serkis,a_Ian McKellen
a_Andy Serkis,a_Keri Russell
a_Andy Serkis,a_Kodi Smit-McPhee
a_Andy Serkis,a_Martin Freeman
a_Andy Serkis,a_Richard Armitage
a_Angela Bassett,a_Delroy Lindo
a_Angela Bassett,a_Denzel Washington
a_Angela Bassett,a_Spike Lee
a_Angela Lansbury,a_Frank Sinatra
a_Angela Lansbury,a_Janet Leigh
a_Angela Lansbury,a_Laurence Harvey
a_Angelina Jolie,a_Colm Feore
a_Angelina Jolie,a_Gattlin Griffith
a_Angie Dickinson,a_Dean Martin
a_Angie Dickinson,a_John Wayne
a_Angie Dickinson,a_Ricky Nelson
a_Angus Macfadyen,a_Mel Gibson
a_Angus Macfadyen,a_Patrick McGoohan
a_Angus Macfadyen,a_Sophie Marceau
a_Anil Dhawan,a_Ayushmann Khurrana
a_Anil Dhawan,a_Radhika Apte
a_Anil Dhawan,a_Tabu
a_Anita Ekberg,a_Anouk Aimée
a_Anita Ekberg,a_Marcello Mastroianni
a_Anita Ekberg,a_Yvonne Furneaux
a_Anjelica Huston,a_Ben Stiller
a_Anjelica Huston,a_Gene Hackman
a_Anjelica Huston,a_Gwyneth Paltrow
a_Ann Dvorak,a_Karen Morley
a_Ann Dvorak,a_Paul Muni
a_Ann Dvorak,a_Richard Rosson
a_Ann Owens,a_Dakota Johnson
a_Ann Owens,a_Michael Schwartz
a_Ann Owens,a_Zack Gottsagen
a_Ann Reinking,a_Jessica Lange
a_Ann Reinking,a_Leland Palmer
a_Ann Reinking,a_Roy Scheider
a_Anna Faris,a_Bill Murray
a_Anna Faris,a_Giovanni Ribisi
a_Anna Faris,a_Scarlett Johansson
a_Anna Foglietta,a_Edoardo Leo
a_Anna Foglietta,a_Giuseppe Battiston
a_Anna Foglietta,a_Marco Giallini
a_Anna Karina,a_Guylaine Schlumberger
a_Anna Karina,a_Sady Rebbot
a_Anna Kendrick,a_Bryce Dallas Howard
a_Anna Kendrick,a_Jake Gyllenhaal
a_Anna Kendrick,a_Joseph Gordon-Levitt
a_Anna Kendrick,a_Michael Peña
a_Anna Kendrick,a_Seth Rogen
a_Anna Massey,a_Karlheinz Böhm
a_Anna Massey,a_Maxine Audley
a_Anna Massey,a_Moira Shearer
a_Annalise Basso,a_George MacKay
a_Annalise Basso,a_Samantha Isler
a_Annalise Basso,a_Viggo Mortensen
a_Anne Bancroft,a_Anthony Hopkins
a_Anne Bancroft,a_Dustin Hoffman
a_Anne Bancroft,a_John Gielgud
a_Anne Bancroft,a_John Hurt
a_Anne Bancroft,a_Katharine Ross
a_Anne Bancroft,a_William Daniels
a_Anne Baxter,a_Bette Davis
a_Anne Baxter,a_Celeste Holm
a_Anne Baxter,a_Charlton Heston
a_Anne Baxter,a_Edward G. Robinson
a_Anne Baxter,a_George Sanders
a_Anne Baxter,a_Yul Brynner
a_Anne Dorval,a_Antoine Olivier Pilon
a_Anne Dorval,a_Patrick Huard
a_Anne Dorval,a_Suzanne Clément
a_Anne Hathaway,a_Bill Pullman
a_Anne Hathaway,a_Christian Bale
a_Anne Hathaway,a_Gary Oldman
a_Anne Hathaway,a_Jessica Chastain
a_Anne Hathaway,a_Mackenzie Foy
a_Anne Hathaway,a_Mark Ruffalo
a_Anne Hathaway,a_Matthew McConaughey
a_Anne Hathaway,a_Tim Robbins
a_Anne Hathaway,a_Tom Hardy
a_Anne Le Ny,a_François Cluzet
a_Anne Le Ny,a_Omar Sy
a_Anne Le Ny,a_Éric Toledano
a_Anne-Marie Duff,a_Dorothy Duffy
a_Anne-Marie Duff,a_Eileen Walsh
a_Anne-Marie Duff,a_Nora-Jane Noone
a_Annette Bening,a_Kevin Spacey
a_Annette Bening,a_Thora Birch
a_Annette Bening,a_Wes Bentley
a_Annie Corley,a_Clint Eastwood
a_Annie Corley,a_Meryl Streep
a_Annie Corley,a_Victor Slezak
a_Annie Potts,a_Tim Allen
a_Annie Potts,a_Tom Hanks
a_Annie Potts,a_Tony Hale
a_Annika Wedderkopp,a_Lasse Fogelstrøm
a_Annika Wedderkopp,a_Mads Mikkelsen
a_Annika Wedderkopp,a_Thomas Bo Larsen
a_Annu Kapoor,a_Ayushmann Khurrana
a_Annu Kapoor,a_Dolly Ahluwalia
a_Annu Kapoor,a_Yami Gautam
a_Anouk Aimée,a_Claudia Cardinale
a_Anouk Aimée,a_Marcello Mastroianni
a_Anouk Aimée,a_Sandra Milo
a_Anouk Aimée,a_Yvonne Furneaux
a_Ansel Elgort,a_Eiza González
a_Ansel Elgort,a_Jon Bernthal
a_Ansel Elgort,a_Jon Hamm
a_Ansel Elgort,a_Laura Dern
a_Ansel Elgort,a_Nat Wolff
a_Ansel Elgort,a_Shailene Woodley
a_Ansiba,a_Asha Sharath
a_Ansiba,a_Meena
a_Ansiba,a_Mohanlal
a_Anthony Chau-Sang Wong,a_Tony Chiu-Wai Leung
a_Anthony Edwards,a_Callan McAuliffe
a_Anthony Edwards,a_Jake Gyllenhaal
a_Anthony Edwards,a_Madeline Carroll
a_Anthony Edwards,a_Mark Ruffalo
a_Anthony Edwards,a_Rebecca De Mornay
a_Anthony Edwards,a_Robert Downey Jr.
a_Anthony Gonzalez,a_Benjamin Bratt
a_Anthony Gonzalez,a_Gael García Bernal
a_Anthony Hopkins,a_Christopher Reeve
a_Anthony Hopkins,a_Diane Ladd
a_Anthony Hopkins,a_Emma Thompson
a_Anthony Hopkins,a_Iain Rea
a_Anthony Hopkins,a_Jodie Foster
a_Anthony Hopkins,a_John Castle
a_Anthony Hopkins,a_John Gielgud
a_Anthony Hopkins,a_John Haycraft
a_Anthony Hopkins,a_John Hurt
a_Anthony Hopkins,a_Kasi Lemmons
a_Anthony Hopkins,a_Katharine Hepburn
a_Anthony Hopkins,a_Lawrence A. Bonney
